id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
0003d0d6-e677-4a00-b7ac-4af5468335cc,AcademyAwards.tube,available,33.98,,68,3,14,namecheap,,
0010799c-b5aa-4a51-a59b-bf26502bf8df,slipin.tube,available,33.98,,65,2,7,namecheap,,
0036b859-5e3e-4a32-bdaf-d1695ea12647,slipped.tube,available,33.98,,70,3,7,namecheap,,
003db18e-604e-4560-ac3d-6cb31394cfb3,noless.tube,available,33.98,,62,4,7,namecheap,,
0060a14e-40ca-4433-8bcf-04081f3faaac,counterterrorism.tube,available,33.98,,52,3,17,namecheap,,
0079c66c-67ce-43e8-a574-c5980636657c,affects.tube,available,23.99,23.99,54,4,7,namesilo,,
0082e0d6-39a8-48d8-829f-ed8204e95168,besupposedto.tube,available,33.98,,60,1,14,namecheap,,
008d00db-c48f-4370-a0e9-67013eaf4c5e,thirdyear.tube,available,23.99,23.99,66,1,10,namesilo,,
00d556e9-ed5d-4df7-b938-bd139adc98e9,takeoffice.tube,available,33.98,,77,2,11,namecheap,,
01332957-f8fe-4d34-bfe1-e90bce6a7bb9,inconclusion.tube,available,33.98,,60,2,13,namecheap,,
015d437e-a381-409b-9062-e4ee5c08006a,gonowhere.tube,available,33.98,,62,2,10,namecheap,,
016062a7-9489-4270-ac63-6ce8dd09d206,finals.tube,available,23.99,23.99,80,7,6,namesilo,,
017173d3-7931-45e3-b885-bd303d67e3be,fastgrowing.tube,available,33.98,,72,3,12,namecheap,,
017410da-bad2-4f8d-81c4-ae3b85255839,sites.tube,available,33.98,,53,26,5,namecheap,,
01a16104-b00d-42b6-b1c1-40f15453f440,Amazonlilies.tube,available,23.99,23.99,50,1,13,namesilo,,
01b1b143-f871-49e8-b4bc-5a8380163074,privatelife.tube,available,33.98,,78,4,12,namecheap,,
01c31935-6864-4810-9dbe-b9707a9c4e35,goape.tube,available,33.98,,76,5,6,namecheap,,
02435506-08e0-4060-9131-20eb7ad849e6,breastaugmentation.tube,available,33.98,,66,5,19,namecheap,,
02672c1f-6350-4f2c-9661-aa53a25a53d3,workmanship.tube,available,33.98,,74,3,11,namecheap,,
02674daa-291c-442d-b505-2964091fd613,Ihaveafever.tube,available,33.98,,50,1,14,namecheap,,
0272462f-67da-46ed-b86e-b6e37ec960a5,makes.tube,available,33.98,,66,17,5,namecheap,,
0283255b-c210-4b93-be03-1ddb1b703c6c,subsequently.tube,available,33.98,,58,1,12,namecheap,,
0286eae6-cf2f-4498-a147-e3bf5b87676a,stepbystep.tube,available,33.98,,62,14,12,namecheap,,
